"latitude","longitude","created"
"53.3449553","-6.2535717","2023-05-23T16:13:24.980Z"
"53.3449553","-6.2535717","2023-05-23T16:13:29.983Z"
"53.3451973","-6.2537395","2023-05-23T16:13:35.222Z"
"53.3451973","-6.2537395","2023-05-23T16:13:40.234Z"
"53.3451973","-6.2537395","2023-05-23T16:13:45.247Z"
"53.3451973","-6.2537395","2023-05-23T16:13:50.259Z"
"53.3451973","-6.2537395","2023-05-23T16:13:55.277Z"
"53.3451973","-6.2537395","2023-05-23T16:14:00.280Z"
"53.3451973","-6.2537395","2023-05-23T16:14:05.292Z"
"53.3451973","-6.2537395","2023-05-23T16:14:10.300Z"
"53.3452687","-6.2551075","2023-05-23T16:14:18.226Z"
"53.345369","-6.2552033","2023-05-23T16:14:22.988Z"
"53.3453888","-6.2552223","2023-05-23T16:14:28.081Z"
"53.3454174","-6.2552496","2023-05-23T16:14:33.123Z"
"53.3460332","-6.2571803","2023-05-23T16:14:38.129Z"
"53.3461659","-6.257583","2023-05-23T16:14:43.221Z"
"53.3463668","-6.2581857","2023-05-23T16:14:48.155Z"
"53.3465074","-6.2585703","2023-05-23T16:14:53.134Z"
"53.3465946","-6.2587837","2023-05-23T16:14:58.272Z"
"53.3462889","-6.2579597","2023-05-23T16:15:03.211Z"
"53.3462638","-6.2578991","2023-05-23T16:15:08.190Z"
"53.3462895","-6.2579798","2023-05-23T16:15:13.206Z"
"53.3462665","-6.2579177","2023-05-23T16:15:18.157Z"
"53.3462771","-6.2579521","2023-05-23T16:15:23.220Z"
"53.3462468","-6.2578629","2023-05-23T16:15:28.215Z"
"53.3462468","-6.2578629","2023-05-23T16:15:33.238Z"
"53.3462166","-6.2577725","2023-05-23T16:15:38.272Z"
"53.3462166","-6.2577725","2023-05-23T16:15:43.282Z"
"53.3462166","-6.2577725","2023-05-23T16:15:48.290Z"
"53.3462166","-6.2577725","2023-05-23T16:15:53.300Z"
"53.3462166","-6.2577725","2023-05-23T16:15:58.311Z"
"53.3462166","-6.2577725","2023-05-23T16:16:03.323Z"
"53.3462166","-6.2577725","2023-05-23T16:16:08.335Z"
"53.3462166","-6.2577725","2023-05-23T16:16:13.353Z"
"53.3462166","-6.2577725","2023-05-23T16:16:18.356Z"
"53.3462166","-6.2577725","2023-05-23T16:16:23.361Z"
"53.3462166","-6.2577725","2023-05-23T16:16:28.370Z"
"53.3462166","-6.2577725","2023-05-23T16:16:33.382Z"
"53.3462166","-6.2577725","2023-05-23T16:16:38.391Z"
"53.3462166","-6.2577725","2023-05-23T16:16:43.396Z"
"53.3462166","-6.2577725","2023-05-23T16:16:48.410Z"
"53.3462166","-6.2577725","2023-05-23T16:16:50.488Z"
"53.3462166","-6.2577725","2023-05-23T16:16:50.497Z"
"53.3462166","-6.2577725","2023-05-23T16:16:55.507Z"
"53.3462166","-6.2577725","2023-05-23T16:17:00.521Z"
"53.3462166","-6.2577725","2023-05-23T16:17:05.530Z"
"53.3469583","-6.2591689","2023-05-23T16:17:18.481Z"
"53.346961","-6.2591693","2023-05-23T16:17:19.030Z"
"53.3469712","-6.2591687","2023-05-23T16:17:23.935Z"
"53.346928","-6.2590776","2023-05-23T16:17:29.075Z"
"53.3468931","-6.2589284","2023-05-23T16:17:33.734Z"
"53.3468346","-6.2587595","2023-05-23T16:17:38.964Z"
"53.3443662","-6.2595926","2023-05-23T16:17:43.851Z"
"53.3443467","-6.2595721","2023-05-23T16:17:48.810Z"
"53.3474356","-6.2594534","2023-05-23T16:17:54.015Z"
"53.3476227","-6.259487","2023-05-23T16:17:59.125Z"
"53.347706","-6.2596016","2023-05-23T16:18:04.078Z"
"53.3477179","-6.259653","2023-05-23T16:18:09.278Z"
"53.3477181","-6.2597563","2023-05-23T16:18:14.120Z"
"53.3477313","-6.2598265","2023-05-23T16:18:19.133Z"
"53.3477111","-6.2597487","2023-05-23T16:18:24.084Z"
"53.3476971","-6.2597656","2023-05-23T16:18:29.209Z"
"53.3476638","-6.2597143","2023-05-23T16:18:34.245Z"
"53.3476579","-6.2594707","2023-05-23T16:18:39.075Z"
"53.3476579","-6.2594707","2023-05-23T16:18:44.113Z"
"53.3476997","-6.2597219","2023-05-23T16:18:49.168Z"
"53.3476997","-6.2597219","2023-05-23T16:18:54.176Z"
"53.3476997","-6.2597219","2023-05-23T16:18:59.190Z"
"53.3476997","-6.2597219","2023-05-23T16:19:04.200Z"
"53.3476997","-6.2597219","2023-05-23T16:19:09.221Z"
"53.3476997","-6.2597219","2023-05-23T16:19:14.227Z"
"53.3476997","-6.2597219","2023-05-23T16:19:19.242Z"
"53.3476997","-6.2597219","2023-05-23T16:19:24.252Z"
"53.3476997","-6.2597219","2023-05-23T16:19:29.264Z"
"53.3476997","-6.2597219","2023-05-23T16:19:34.279Z"
"53.3476997","-6.2597219","2023-05-23T16:19:39.291Z"
"53.3476997","-6.2597219","2023-05-23T16:19:44.303Z"
"53.3476997","-6.2597219","2023-05-23T16:19:49.317Z"
"53.3476997","-6.2597219","2023-05-23T16:19:54.330Z"
"53.3476997","-6.2597219","2023-05-23T16:19:59.341Z"
"53.3476997","-6.2597219","2023-05-23T16:20:04.352Z"
"53.3476997","-6.2597219","2023-05-23T16:20:09.366Z"
"53.3476997","-6.2597219","2023-05-23T16:20:14.377Z"
"53.3476997","-6.2597219","2023-05-23T16:20:19.393Z"
"53.3476997","-6.2597219","2023-05-23T16:20:24.400Z"
"53.3476997","-6.2597219","2023-05-23T16:20:29.417Z"
"53.3476997","-6.2597219","2023-05-23T16:20:34.429Z"
"53.3476997","-6.2597219","2023-05-23T16:20:39.439Z"
"53.3476997","-6.2597219","2023-05-23T16:20:44.450Z"
"53.3476997","-6.2597219","2023-05-23T16:20:49.463Z"
"53.3476997","-6.2597219","2023-05-23T16:20:54.476Z"
"53.3476997","-6.2597219","2023-05-23T16:20:59.493Z"
"53.3476997","-6.2597219","2023-05-23T16:21:04.498Z"
"53.3476997","-6.2597219","2023-05-23T16:21:09.509Z"
"53.3476997","-6.2597219","2023-05-23T16:21:14.521Z"
"53.3476997","-6.2597219","2023-05-23T16:21:19.537Z"
"53.3476997","-6.2597219","2023-05-23T16:21:24.549Z"
"53.3476997","-6.2597219","2023-05-23T16:21:29.563Z"
"53.3476997","-6.2597219","2023-05-23T16:21:34.575Z"
"53.3476997","-6.2597219","2023-05-23T16:21:39.584Z"
